央视频道,#genre#
CCTV4,http://47.97.252.137:8094/tvlive/cctv4hd.m3u8?node=9
CCTV4,http://47.97.252.137:8094/tvlive/cctv4hd.m3u8?node=10
CCTV4,http://47.97.252.137:8094/tvlive/cctv4hd.m3u8?node=11
CCTV4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=tvzb260306
CCTV5,http://47.97.252.137:8094/daili/cctv5hd.m3u8?line=0
CCTV5,http://47.97.252.137:8094/apptv/cctv5.m3u8
CCTV5,http://47.97.252.137:8094/cdnlive/cctv5.m3u8
CCTV5,http://47.97.252.137:8094/daili/cctv5hd.m3u8?line=1
CCTV5,http://47.97.252.137:8094/daili/cctv5hd.m3u8?line=2
CCTV5,http://47.97.252.137:8094/tvlive/cctv5hd.m3u8?node=1
CCTV5,http://47.97.252.137:8094/tvlive/cctv5hd.m3u8?node=2
CCTV5,http://47.97.252.137:8094/tvlive/cctv5hd.m3u8?node=3
CCTV5,http://47.97.252.137:8094/tvlive/cctv5hd.m3u8?node=4
CCTV5,http://47.97.252.137:8094/tvlive/cctv5hd.m3u8?node=5
CCTV5,http://47.97.252.137:8094/tvlive/cctv5hd.m3u8?node=6
CCTV5,http://47.97.252.137:8094/tvlive/cctv5hd.m3u8?node=7
CCTV5,http://47.97.252.137:8094/tvlive/cctv5hd.m3u8?node=8
CCTV5,http://47.97.252.137:8094/tvlive/cctv5hd.m3u8?node=9
CCTV5,http://47.97.252.137:8094/tvlive/cctv5hd.m3u8?node=10
CCTV5,http://47.97.252.137:8094/tvlive/cctv5hd.m3u8?node=11
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=tvzb260306
CCTV6,http://47.97.252.137:8094/daili/cctv6hd.m3u8?line=0
CCTV6,http://47.97.252.137:8094/apptv/cctv6.m3u8
CCTV6,http://47.97.252.137:8094/cdnlive/cctv6.m3u8
CCTV6,http://47.97.252.137:8094/daili/cctv6hd.m3u8?line=1
CCTV6,http://47.97.252.137:8094/daili/cctv6hd.m3u8?line=2
CCTV6,http://47.97.252.137:8094/tvlive/cctv6hd.m3u8?node=1
CCTV6,http://47.97.252.137:8094/tvlive/cctv6hd.m3u8?node=2
CCTV6,http://47.97.252.137:8094/tvlive/cctv6hd.m3u8?node=3
CCTV6,http://47.97.252.137:8094/tvlive/cctv6hd.m3u8?node=4
CCTV6,http://47.97.252.137:8094/tvlive/cctv6hd.m3u8?node=5
CCTV6,http://47.97.252.137:8094/tvlive/cctv6hd.m3u8?node=6
CCTV6,http://47.97.252.137:8094/tvlive/cctv6hd.m3u8?node=7
CCTV6,http://47.97.252.137:8094/tvlive/cctv6hd.m3u8?node=8
CCTV6,http://47.97.252.137:8094/tvlive/cctv6hd.m3u8?node=9
CCTV6,http://47.97.252.137:8094/tvlive/cctv6hd.m3u8?node=10
CCTV6,http://47.97.252.137:8094/tvlive/cctv6hd.m3u8?node=11
CCTV6,http://47.97.252.137:8094/tvlive/cctv6hd.m3u8?node=12
CCTV6,http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=tvzb260306
CCTV7,http://47.97.252.137:8094/daili/cctv7hd.m3u8?line=0
CCTV7,http://47.97.252.137:8094/apptv/cctv7.m3u8
CCTV7,http://47.97.252.137:8094/cdnlive/cctv7.m3u8
CCTV7,http://47.97.252.137:8094/daili/cctv7hd.m3u8?line=1
CCTV7,http://47.97.252.137:8094/daili/cctv7hd.m3u8?line=2
CCTV7,http://47.97.252.137:8094/tvlive/cctv7hd.m3u8?node=1
CCTV7,http://47.97.252.137:8094/tvlive/cctv7hd.m3u8?node=2
CCTV7,http://47.97.252.137:8094/tvlive/cctv7hd.m3u8?node=3
CCTV7,http://47.97.252.137:8094/tvlive/cctv7hd.m3u8?node=4
CCTV7,http://47.97.252.137:8094/tvlive/cctv7hd.m3u8?node=5
CCTV7,http://47.97.252.137:8094/tvlive/cctv7hd.m3u8?node=6
CCTV7,http://47.97.252.137:8094/tvlive/cctv7hd.m3u8?node=7
CCTV7,http://47.97.252.137:8094/tvlive/cctv7hd.m3u8?node=8
CCTV7,http://47.97.252.137:8094/tvlive/cctv7hd.m3u8?node=9
CCTV7,http://47.97.252.137:8094/tvlive/cctv7hd.m3u8?node=10
CCTV7,http://47.97.252.137:8094/tvlive/cctv7hd.m3u8?node=11
CCTV7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=tvzb260306
CCTV8,http://47.97.252.137:8094/daili/cctv8hd.m3u8?line=0
CCTV8,http://47.97.252.137:8094/apptv/cctv8.m3u8
CCTV8,http://47.97.252.137:8094/cdnlive/cctv8.m3u8
CCTV8,http://47.97.252.137:8094/daili/cctv8hd.m3u8?line=1
CCTV8,http://47.97.252.137:8094/daili/cctv8hd.m3u8?line=2
CCTV8,http://47.97.252.137:8094/tvlive/cctv8hd.m3u8?node=1
CCTV8,http://47.97.252.137:8094/tvlive/cctv8hd.m3u8?node=2
CCTV8,http://47.97.252.137:8094/tvlive/cctv8hd.m3u8?node=3
CCTV8,http://47.97.252.137:8094/tvlive/cctv8hd.m3u8?node=4
CCTV8,http://47.97.252.137:8094/tvlive/cctv8hd.m3u8?node=5
CCTV8,http://47.97.252.137:8094/tvlive/cctv8hd.m3u8?node=6
CCTV8,http://47.97.252.137:8094/tvlive/cctv8hd.m3u8?node=7
